Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
drinkHerbalDecoction,items,Food,,,Herbal Decoction,,,,,,,,,,Травяной отвар,,,
foodFishPotatoPieDesc,items,Food,,,"A hearty pie filled with fish, potatoes and egg. Ideal for satisfying hunger.",,,,,,,,,,"Сытный пирог с начинкой из рыбы, картофеля и яйца. Идеально подходит для утоления голода.",,,
foodSmokedFishInSauce,items,Food,,,"Smoked Fish in Sauce",,,,,,,,,,"Копчёная рыба в соусе",,,
foodSmokedFishInSauceDesc,items,Food,,,"Aromatic smoked fish, stewed in a savory sauce. A complete dish that will give you strength.",,,,,,,,,,"Ароматная копчёная рыба, тушёная в пикантном соусе. Полноценное блюдо, которое придаст сил.",,,
foodBakedFishAndPotatoes,items,Food,,,"Baked Fish and Potatoes",,,,,,,,,,"Рыба, запечённая с картофелем",,,
foodBakedFishAndPotatoesDesc,items,Food,,,"Tender fish baked with potatoes and aromatic herbs. A nutritious and healthy dish to restore your strength.",,,,,,,,,,"Нежная рыба, запечённая с картофелем, с добавлением ароматных трав. Питательное и полезное блюдо для восстановления сил.",,,
foodFishStewWithCorn,items,Food,,,"Fish Stew with Corn",,,,,,,,,,"Рыбная похлёбка с кукурузой",,,
foodFishStewWithCornDesc,items,Food,,,"A hearty fish stew with the addition of corn, designed for a quick recovery of strength.",,,,,,,,,,"Наваристая рыбная похлёбка с добавлением кукурузы, созданная для быстрого восстановления сил.",,,
foodFishBraisedInOwnJuices,items,Food,,,"Fish Braised in Own Juices",,,,,,,,,,"Рыба, тушённая в собственном соку",,,
foodFishBraisedInOwnJuicesDesc,items,Food,,,"Succulent fish braised in its own juices with the addition of aromatic herbs. A dish rich in proteins and nutrients.",,,,,,,,,,"Сочная рыба, тушённая в собственном соку с добавлением ароматных трав. Богатое протеинами и полезными веществами блюдо.",,,
foodFishTacosDeluxe,items,Food,,,"Fish Tacos Deluxe",,,,,,,,,,"Рыбные тако Делюкс",,,
foodFishTacosDeluxeDesc,items,Food,,,"Delicious tacos with smoked fish, fresh vegetables and savory sauce. A gourmet dish for connoisseurs.",,,,,,,,,,"Аппетитные тако с копчёной рыбой, свежими овощами и ароматным соусом. Изысканное блюдо для гурманов.",,,
